type_value	subject	region	region_level	indicator2	val_indicator2	mean	se	n	n_res
sdlearnatwork	age_gr	1	2.191408010480613	.0430161934263663	769
sdlearnatwork	age_gr	2	1.91172558022279	.0337214299338245	1601
sdlearnatwork	age_gr	3	1.752097271127418	.0634578037767696	445
sdlearnatwork	lnghome	1	1.943401914814693	.0399141895897419	1206
sdlearnatwork	lnghome	2	1.987948128511267	.0427044588036847	1522
sdlearnatwork	lnghome	3	1.961387025000888	.1193753570101584	64
sdlearnatwork	gender	1	1.889677801529982	.0342283688507051	1253
sdlearnatwork	gender	2	2.059397691680144	.0412095752773695	1562
sdlearnatwork	edu11	2	1.830557603073166	.0814026349115009	211
sdlearnatwork	edu11	3	1.752852141417533	.06515173447563	314
sdlearnatwork	edu11	4	1.890083333152189	.0370853780143385	1110
sdlearnatwork	edu11	5	2.135019420702339	.0444261273232729	1179
sdlearnatwork	regs	1	2.189431471429789	.1050524610215465	137
sdlearnatwork	regs	2	2.055806716919669	.0687869915508915	133
sdlearnatwork	regs	3	1.671477156197315	.1257566790882461	28
sdlearnatwork	regs	4	2.015718240148515	.1739731415994154	87
sdlearnatwork	regs	5	1.633936496805355	.07527837275	357
sdlearnatwork	regs	6	2.046583555314626	.0881031060644852	92
sdlearnatwork	regs	7	2.14331008077941	.1215847361312231	77
sdlearnatwork	regs	8	2.053833990258112	.1258967735619845	313
sdlearnatwork	regs	9	1.692580359036401	.07645216109804	295
sdlearnatwork	regs	10	1.93126195937932	.0673357268677763	151
sdlearnatwork	regs	11	1.869971148017312	.1053224427113508	122
sdlearnatwork	regs	12	2.113473258585274	.106768088105214	325
sdlearnatwork	regs	13	2.187347025920516	.097991798549666	135
sdlearnatwork	regs	14	1.829701660272056	.082284803571696	135
sdlearnatwork	regs	15	2.1936174007763	.052072800732078	182
sdlearnatwork	regs	16	2.118104394520758	.1878145745677106	245
sdreadytolearn	age_gr	1	2.140035587010527	.0331662045314183	1768
sdreadytolearn	age_gr	2	1.965806369793681	.0267132782279155	2875
sdreadytolearn	age_gr	3	1.737643081621407	.0363788236252476	1258
sdreadytolearn	lnghome	1	1.934191139870892	.0327948766387592	2590
sdreadytolearn	lnghome	2	2.005183606285808	.0253515551985268	3114
sdreadytolearn	lnghome	3	2.071101822990599	.1400828208969976	144
sdreadytolearn	gender	1	1.971005552492945	.0280303903069701	2295
sdreadytolearn	gender	2	1.970817929769697	.0261067746399875	3606
sdreadytolearn	edu11	2	1.802014944500957	.0531433660151246	777
sdreadytolearn	edu11	3	1.817068499240156	.044015760688615	921
sdreadytolearn	edu11	4	1.8948766089129	.03242166771331	2224
sdreadytolearn	edu11	5	2.224277092087479	.0340759670991547	1977
sdreadytolearn	regs	1	2.169774779536901	.1130760704596998	263
sdreadytolearn	regs	2	1.854237740473614	.0862042264718593	269
sdreadytolearn	regs	3	1.307722333405299	.0943286234053574	91
sdreadytolearn	regs	4	1.943567152655341	.1463045480787433	204
sdreadytolearn	regs	5	1.897351620557356	.0465974805082972	794
sdreadytolearn	regs	6	1.841378086963924	.1096313202635469	179
sdreadytolearn	regs	7	1.915800867829766	.0671199586282858	215
sdreadytolearn	regs	8	2.299751979561528	.0982029772325285	534
sdreadytolearn	regs	9	1.874292092369877	.0780774506252455	679
sdreadytolearn	regs	10	2.22412674209581	.0695745931587973	288
sdreadytolearn	regs	11	1.917956320152708	.0651435476267312	338
sdreadytolearn	regs	12	2.134739728523712	.0721235645061759	683
sdreadytolearn	regs	13	1.896606064265913	.1581177799515483	185
sdreadytolearn	regs	14	1.607665572528501	.0866550380667591	243
sdreadytolearn	regs	15	2.070808501630944	.1477701759013157	429
sdreadytolearn	regs	16	1.945151538185386	.0915008828966485	506
sdicthome	age_gr	1	2.224513046927221	.0458554184736146	1424
sdicthome	age_gr	2	1.88420087418483	.0308451213842969	1989
sdicthome	age_gr	3	1.635146237547332	.0397299567559203	603
sdicthome	lnghome	1	1.954340602582025	.0377118786743885	1668
sdicthome	lnghome	2	2.002598141858925	.031562198812535	2224
sdicthome	lnghome	3	1.654803279967733	.0804038631652539	87
sdicthome	gender	1	1.960334281730961	.0329100243748196	1542
sdicthome	gender	2	1.993349307958354	.0317786738665832	2474
sdicthome	edu11	2	1.988273784658342	.0649524525898325	398
sdicthome	edu11	3	1.904037982276549	.045857862077127	561
sdicthome	edu11	4	1.835592543390921	.0480851185682086	1485
sdicthome	edu11	5	2.14524824383105	.0376974562955727	1572
sdicthome	regs	1	2.189582943605614	.088445524295116	191
sdicthome	regs	2	2.0903215633815	.1207949209327648	190
sdicthome	regs	3	2.214299196154354	.3105618051329243	41
sdicthome	regs	4	2.556379802979356	.2858508256585298	131
sdicthome	regs	5	1.633258886554264	.0706306505458458	568
sdicthome	regs	6	1.988491805153508	.0575457843057339	120
sdicthome	regs	7	2.060149801322022	.0834560936739705	143
sdicthome	regs	8	2.079699171503549	.0869932846970102	395
sdicthome	regs	9	2.021335451991105	.067056857458626	528
sdicthome	regs	10	1.947421879628193	.0691842054181332	163
sdicthome	regs	11	2.153789433368254	.1333793461987327	176
sdicthome	regs	12	2.122273215190484	.0990504522846135	375
sdicthome	regs	13	2.087609158677521	.1764896695893019	142
sdicthome	regs	14	1.682807455537017	.0651854045101662	173
sdicthome	regs	15	1.80518939963899	.0708122118680917	331
sdicthome	regs	16	1.915395089127192	.1089181987124843	349
sdictwork	age_gr	1	2.066416077236068	.0564022244809017	628
sdictwork	age_gr	2	1.962859074233366	.0350951924439599	1121
sdictwork	age_gr	3	1.752100628157608	.0589486527962549	266
